Name,Artist,Album,Spotify ID,Added On
Haunting - Live From Spotify NYC,Halsey,Spotify Sessions (Live From Spotify NYC),0rExobqeVmyODYms2Lq8sG,2022-04-20T18:42:38Z
at least i'm pretty,Harriette,at least i'm pretty,5o9iQVktO08gIlRAHqqxtj,2022-04-20T10:44:30Z
psychofreak (feat. WILLOW),Camila Cabello,Familia,73cnVqsbZygieKi8xF10sO,2022-04-20T10:34:09Z
What Now,Rihanna,Unapologetic (Deluxe),2RWs4c3ZJ74WwXlVC3QCQN,2022-04-19T11:33:22Z
Rehab,Rihanna,Good Girl Gone Bad: Reloaded,5X3ahLXhOw16BR09GjYPUT,2022-04-19T11:19:15Z
Take A Bow,Rihanna,Good Girl Gone Bad: Reloaded,3goSVuTt3fDYDP6kRnFwuL,2022-04-19T08:52:16Z
Sorry - Acoustic,Nothing But Thieves,Broken Machine (Deluxe),0Akytll1e5KvwNKvhqIZFn,2022-04-18T10:22:11Z
The Emotion,BØRNS,Dopamine,03YZnK3XQWKpvo9TyNZzXf,2022-04-18T10:08:59Z
Ruin My Life,Zara Larsson,Ruin My Life,5Fyjxarrx6ZFrZ2DHte8Z5,2022-04-17T13:00:52Z
Unfaithful,Rihanna,A Girl Like Me,1oh6hjPd82XlGFQGUh2Jfa,2022-04-17T10:42:31Z
Peaked,EDEN,Peaked,1pG2yOxpcU0NNyLivl9Vy5,2022-04-16T23:36:11Z
Starboy - Recorded at Spotify Studios NYC,SHAED,Spotify Singles,7FxWJX9m6V4d9lYZ5vogqW,2022-04-16T17:55:16Z
All Time Low - Recorded at Spotify Studios NYC,Andy Grammer,Spotify Singles,3uM14F9XYRMhx6MgDsS9iq,2022-04-16T17:51:42Z
Bad At Love - Recorded at Sound Stage Studios Nashville,Old Dominion,Spotify Singles,1kTugNMVMbaQep1srMua2q,2022-04-16T17:44:45Z
Love Me Now - Recorded at Spotify Studios NYC,John Legend,Spotify Singles,2pPRgFEENF3LtuxYUPuT24,2022-04-16T17:44:31Z
Feel It Still - Recorded at Spotify Studios NYC,Portugal. The Man,Spotify Singles,5Xh97PTcc1LxMF8sc8Xhis,2022-04-16T17:42:36Z
Sign Of The Times - Spotify Studios NYC,LANY,Spotify Singles,0830WmzxBqOp9C93j8m9sN,2022-04-16T17:42:24Z
I Wanna Dance With Somebody (Who Loves Me) - Recorded at Spotify Studios NYC,Fall Out Boy,Spotify Singles,3Nca5js9xKegX655YZ43Uq,2022-04-16T17:41:24Z
HOLD ME TIGHT OR DON’T - Recorded at Spotify Studios NYC,Fall Out Boy,Spotify Singles,4eQKDjhoCoQ8ACKvls8sfV,2022-04-16T17:41:23Z
Don't Stay - Recorded At Spotify Studios NYC,X Ambassadors,Spotify Singles,6lLLwnbWbFTqbFmZmJW3bM,2022-04-16T17:41:00Z
"Lover - Recorded at Air Studios, London",Niall Horan,Spotify Singles,3PgxWUQc4HJoQMj5Kp5Mcd,2022-04-16T17:40:06Z
"God is a woman - Recorded at Metropolis Studios, London",Paloma Faith,Spotify Singles,5gRGXpg9mSxxaj3rK76VR3,2022-04-16T17:38:43Z
Lost In Japan - Recorded at Spotify Studios NYC,Shawn Mendes,Spotify Singles,7b1WVMX0FShcPWct8ca7ma,2022-04-16T17:38:40Z
Nothing from Nothing - Recorded at Spotify Studios NYC,Mac Miller,Spotify Singles,5YLpIdoLpKPSPCamFAKUCi,2022-04-16T17:38:33Z
Dunno - Recorded at Spotify Studios NYC,Mac Miller,Spotify Singles,6eIEJLVaPTU3NuctqdWCzJ,2022-04-16T17:38:31Z
Androgynous - Recorded at Spotify Studios NYC,Joan Jett & the Blackhearts,Spotify Singles,1moVuTTH3Kh1FLMAJoriAz,2022-04-16T17:38:20Z
"Young Dumb & Broke - Recorded At The Colosseum, Caesars Palace, Las Vegas",Elton John,Spotify Singles,28rT3OwXdw4VF1MPYIk1P6,2022-04-16T17:38:15Z
Movement - Recorded at Spotify Studios NYC,Hozier,Spotify Singles,5EaHXf4tvFDKr3W2dDTlaO,2022-04-16T17:38:09Z
"Death Is Not Defeat - Recorded at Abbey Road Studios, London",Architects,Spotify Singles,37hjoRjUHVb8amVsTTzKCv,2022-04-16T17:38:03Z
"thank u, next - Recorded At Spotify Studios NYC",Anitta,Spotify Singles,1bmixG6Y4C1T8CXyE3nFDF,2022-04-16T17:37:58Z
Adult Swim - Recorded At Spotify Studios NYC,Jon Bellion,Spotify Singles,22Q710MZe6lV8NGyA0DsLS,2022-04-16T17:37:23Z
when the party's over - Recorded at Spotify Studios NYC,Lewis Capaldi,Spotify Singles,6H7fWtwEUHVfTyZD7zeG4w,2022-04-16T17:37:16Z
you broke me first - Spotify Singles,Tate McRae,Spotify Singles,4SBahN5KfX1RLG9XLNIlJA,2022-04-16T17:35:46Z
WITHOUT YOU - Spotify Singles,The Kid LAROI,Spotify Singles,4vztZvxyCfrct6XQanbo4S,2022-04-16T17:35:30Z
Skinny Love - Spotify Singles,Japanese Breakfast,Spotify Singles,58az7rByzBsG2X9MR5wbv3,2022-04-16T17:34:08Z
Right on time,Metronomy,Small World,6JJ3UK1YfxO26iEiMWUHHj,2022-04-15T16:45:05Z
